q1,x1,y1,z1,px1,py1,pz1,x2,y2,z2,px2,py2,pz2,q2,vtx,vty,vtz,vpx,vpy,vpz
1,14.0368,9.14611,594.467,2.2279,0.682157,40.1611,96.9297,31.973,1936.99,2.6121,0.682219,40.1138,1,-0.0949693,-0.173778,37.7394,-0.718459,0.855686,49.206
1,-15.127,-25.5658,594.718,-0.42333,-2.6441,55.0235,-19.2728,-88.2689,1899.93,-0.0354564,-2.64181,55.0007,1,-0.873625,0.590022,33.2498,-3.13535,-3.08169,62.5317
1,-4.48184,-5.02827,594.616,0.569838,-0.706143,72.7433,10.1823,-17.6988,1899.86,0.956272,-0.705887,72.7182,1,0.363496,0.541102,27.1,-2.3887,-0.748944,80.4553
1,-45.9398,18.2501,594.912,-0.0130794,0.509187,9.29352,-11.4698,91.4206,1936.73,0.374477,0.506969,9.30575,1,-0.0472849,0.0106073,56.4399,-3.55714,0.214992,18.2017
1,-19.9597,28.6974,594.706,0.195606,1.11443,22.9323,6.27534,93.8775,1936.75,0.583209,1.11162,22.9028,1,-0.26367,1.33923,41.8576,-2.99101,1.61866,30.3003
1,-9.5215,-23.6903,594.667,0.503075,-1.74593,35.1831,18.3653,-88.4532,1899.82,0.896114,-1.75311,35.3774,1,-0.297603,0.48644,49.6948,-2.42495,-1.56168,43.7653
1,-15.9579,-3.85955,594.704,-0.614325,-0.383733,65.7964,-23.2394,-11.4695,1899.93,-0.227806,-0.383451,65.778,1,-0.18992,0.227427,40.2153,-4.0057,-0.588389,75.8785
1,-10.8597,20.6309,594.644,0.433573,1.49299,40.6198,11.7953,69.9587,1936.79,0.820646,1.49157,40.5897,1,-0.724796,-0.298092,34.8823,-3.14321,1.8742,53.1823
1,-11.1137,16.8025,594.65,-0.256436,1.85126,55.7683,-11.2268,61.3453,1936.75,0.130719,1.84984,55.744,1,0.492482,-0.51644,74.3011,-3.16944,2.10389,66.5266
1,-26.514,18.4803,594.771,-0.823479,1.07432,31.4205,-50.9409,64.3084,1936.68,-0.436509,1.07186,31.4047,1,2.90892,0.188611,63.0778,-3.62302,1.65477,39.7643
1,18.2984,3.34402,594.428,2.68999,0.136458,49.6798,97.7848,7.03712,1936.96,3.07443,0.136614,49.6436,1,-0.364255,0.446429,49.114,0.194236,0.433322,58.4156
1,-47.9391,17.7246,594.936,-0.810657,0.708477,20.3481,-84.8602,64.2959,1936.6,-0.42511,0.704783,20.3372,1,0.0875811,-0.816977,50.9965,-4.45206,0.998698,27.0968
1,-4.29332,-0.728418,594.611,0.589414,-0.234206,63.1568,13.0007,-5.5688,1899.85,0.975837,-0.234138,63.1381,1,0.262996,-0.384381,33.5249,-2.27062,0.0906884,73.2076
1,-9.16762,-7.70808,594.655,-0.133369,-0.811227,70.5153,-7.05714,-22.7219,1899.89,0.253196,-0.810754,70.4898,1,0.174637,-1.19889,58.0297,-3.05242,-0.994318,78.0695
1,4.06655,-6.23626,594.552,1.63225,-1.0441,82.9894,33.6305,-22.6603,1899.81,2.0182,-1.04386,82.9556,1,-0.162657,-0.06491,128.956,-0.626071,-1.53073,90.7205
1,-0.36584,-13.8675,594.591,0.908797,-1.27596,47.4087,31.4782,-49.0033,1899.81,1.29514,-1.27532,47.3754,1,0.378763,-0.385051,101.744,-1.47696,-1.56879,55.6588
1,-16.0554,-41.8634,594.736,0.597126,-0.802979,11.3043,81.9327,-134.62,1899.73,0.984234,-0.798266,11.2491,1,-1.12096,1.59529,47.2104,-2.88387,-1.74776,21.2338
1,-19.8769,12.0219,594.721,-0.807314,1.01036,55.5819,-33.3026,36.4047,1936.73,-0.420519,1.00922,55.5615,1,1.27681,-0.126206,25.6075,-4.27954,1.60219,64.1942
1,-27.3216,-39.2264,594.812,0.195495,-1.4543,21.6806,-0.50729,-126.698,1899.9,0.584011,-1.44972,21.6472,1,-0.0689619,-0.25611,35.5465,-3.38265,-1.66989,28.4624
1,-18.5841,20.8138,594.703,-0.121101,1.54909,45.0662,-14.6913,66.927,1936.74,0.266053,1.54725,45.0413,1,0.168635,0.303835,32.7751,-4.00221,1.96495,54.8758
1,11.1141,-18.0819,594.503,1.907,-1.64083,41.2163,79.3746,-70.081,1899.73,2.29252,-1.64055,41.1725,1,0.336457,0.499417,67.08,-0.636243,-1.56549,47.3219
1,-1.74706,6.89363,594.586,0.947582,1.12136,79.5596,18.479,25.813,1936.81,1.33385,1.12098,79.5287,1,-0.00807055,0.20514,34.6894,-2.09008,0.726809,87.1262
1,9.84095,-35.7647,594.533,1.90291,-3.3253,51.1846,64.7373,-120.603,1899.76,2.29037,-3.32459,51.1442,1,-0.00107176,-0.280795,31.3221,-0.369669,-3.44911,59.4411
1,-36.2518,31.8511,594.826,0.0450918,1.10471,17.8608,-13.8519,114.742,1936.71,0.433039,1.10056,17.8333,1,-0.240365,0.268668,30.904,-3.58351,1.47557,24.3304
